Trienio,Semestre,Chamada,Curso_Limpo,Campus,Turno,Sistema_ID,Sistema_Nome,Min,Max,Media,N_Banco
2023-2025,2°,1ª,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,-11.683,-11.683,-11.683,1
2023-2025,2°,1ª,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,19.878,35.703,28.747,9
2023-2025,2°,1ª,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-26.605,-26.605,-26.605,1
2023-2025,2°,1ª,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-9.727,13.217,-0.04,11
2023-2025,2°,1ª,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,1,Sistema Universal,12.586,20.989,16.739,10
2023-2025,2°,1ª,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,-5.555,12.661,3.553,2
2023-2025,2°,1ª,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,1,Sistema Universal,-13.312,-0.046,-5.698,8
2023-2025,2°,1ª,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,-36.491,-36.491,-36.491,1
2023-2025,2°,1ª,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-73.476,-64.594,-69.035,2
2023-2025,2°,1ª,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-79.448,-17.333,-38.826,23
2023-2025,2°,1ª,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-67.047,-67.047,-67.047,1
2023-2025,2°,1ª,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,7.91,27.529,17.364,9
2023-2025,2°,1ª,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-28.759,-28.759,-28.759,1
2023-2025,2°,1ª,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,47.539,64.467,57.67,4
2023-2025,2°,1ª,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-26.644,-26.644,-26.644,1
2023-2025,2°,1ª,LÍNGUA INGLESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-53.934,-11.165,-26.781,10
2023-2025,2°,1ª,LÍNGUA PORTUGUESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-7.327,17.514,4.753,11
2023-2025,2°,1ª,LÍNGUA PORTUGUESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,7.854,7.854,-13.074,2
2023-2025,2°,1ª,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-80.64,-38.396,-64.108,6
2023-2025,2°,1ª,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,144.827,160.522,146.192,11
2023-2025,2°,1ª,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,119.781,119.781,119.781,1
2023-2025,2°,1ª,MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,37.501,54.103,47.021,9
2023-2025,2°,1ª,MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,14.518,14.518,14.518,1
2023-2025,2°,1ª,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,41.733,52.324,48.174,7
2023-2025,2°,1ª,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,34.446,34.446,34.446,1
2023-2025,2°,1ª,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,69.79,77.937,73.918,5
2023-2025,2°,1ª,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,22.06,22.06,22.06,1
2023-2025,2°,1ª,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-51.266,-19.388,-31.674,27
2023-2025,2°,1ª,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-48.281,-29.075,-40.012,5
2023-2025,2°,1ª,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-84.959,-44.628,-67.158,3
2023-2025,2°,1ª,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-52.471,-52.471,-52.471,1
2023-2025,2°,1ª,PSICOLOGIA (BACHARELADO/LICENCIATURA/PSICÓLOGO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,74.392,86.809,80.491,11
2023-2025,2°,1ª,PSICOLOGIA (BACHARELADO/LICENCIATURA/PSICÓLOGO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,62.655,62.655,62.655,1
2023-2025,2°,1ª,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-69.982,-30.33,-49.626,7
2023-2025,2°,1ª,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-46.871,-40.31,-43.694,3
2023-2025,2°,1ª,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,63.729,81.165,74.524,11
2023-2025,2°,1ª,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,33.835,33.835,33.835,1
2023-2025,2°,1ª,TERAPIA OCUPACIONAL (BACHARELADO),CEILÂNDIA,DIURNO,1,Sistema Universal,-21.883,-6.031,-17.073,13
2023-2025,2°,1ª,TERAPIA OCUPACIONAL (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,-40.942,-40.942,-40.942,1
